timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7
1457272144245,-0.48780487804878053,0,0.24390243902439027,0.001953125,0.00390625,0.984375,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144294,0.48780487804878053,0.48780487804878053,0.24390243902439027,0,0.005859375,0.986328125,0,0,0,1502,1496,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144345,-0.24390243902439027,0.24390243902439027,0.7317073170731708,0.001953125,0.00390625,0.98828125,0,0,0,1503,1495,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144394,0.9756097560975611,0.48780487804878053,0.24390243902439027,0,0.00390625,0.986328125,0,0,0,1502,1495,1498,1000,1938,1500,1500,1500,1151,1155,1150,1150,0,0,0,0
1457272144445,0,-0.24390243902439027,0.48780487804878053,0,0.00390625,0.986328125,0,0,0,1502,1495,1498,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144494,1.4634146341463417,0.48780487804878053,0.7317073170731708,0.001953125,0.00390625,0.984375,0,0,0,1501,1495,1496,1000,1938,1500,1500,1500,1150,1156,1150,1150,0,0,0,0
1457272144544,-0.7317073170731708,0.24390243902439027,0.48780487804878053,0.001953125,0.00390625,0.98828125,0,0,0,1501,1495,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144594,0.7317073170731708,0.48780487804878053,0.48780487804878053,0,0.00390625,0.986328125,0,0,0,1501,1495,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144645,-0.9756097560975611,0.24390243902439027,0.24390243902439027,0,0.001953125,0.986328125,0,0,0,1502,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144695,0.9756097560975611,0.7317073170731708,0.7317073170731708,0.001953125,0.00390625,0.984375,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1154,1150,1150,0,0,0,0
1457272144745,0,0.48780487804878053,0.24390243902439027,0.00390625,0.005859375,0.986328125,0,0,0,1502,1495,1498,1000,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272144795,0.9756097560975611,0.7317073170731708,0.48780487804878053,0,0.005859375,0.984375,0,0,0,1502,1495,1496,1000,1938,1500,1500,1500,1150,1154,1150,1150,0,0,0,0
1457272144848,0.48780487804878053,1.2195121951219514,0.24390243902439027,0.00390625,0.00390625,0.986328125,0,0,0,1501,1495,1497,1000,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272144898,0.7317073170731708,1.2195121951219514,0.9756097560975611,0,0.005859375,0.986328125,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1154,1150,1150,0,0,0,0
1457272144945,-0.48780487804878053,0.48780487804878053,0.7317073170731708,0,0.0078125,0.986328125,0,0,0,1503,1495,1498,1000,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272144997,-0.7317073170731708,0,0.7317073170731708,0.001953125,0.005859375,0.986328125,0,0,0,1503,1495,1497,1000,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145045,-0.9756097560975611,0.24390243902439027,0.24390243902439027,0,0.005859375,0.984375,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272145095,-0.24390243902439027,-0.48780487804878053,0.48780487804878053,0,0.00390625,0.984375,0,0,0,1502,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145144,0,-0.24390243902439027,0.7317073170731708,0,0.00390625,0.98828125,0,0,0,1503,1495,1498,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145194,-0.24390243902439027,-0.48780487804878053,0.24390243902439027,0,0.005859375,0.98828125,0,0,0,1502,1495,1497,1000,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145244,0.48780487804878053,-0.24390243902439027,0.24390243902439027,0,0.00390625,0.986328125,0,0,0,1502,1495,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145295,0.9756097560975611,0.24390243902439027,0.48780487804878053,0,0.00390625,0.986328125,0,0,0,1501,1495,1496,1000,1938,1500,1500,1500,1151,1155,1150,1150,0,0,0,0
1457272145347,-2.9268292682926833,-0.24390243902439027,0.24390243902439027,0,0.0078125,0.986328125,0,0,0,1501,1496,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145398,-1.707317073170732,0,0.24390243902439027,0,0.00390625,0.98828125,0,0,0,1502,1495,1497,1000,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272145449,-1.2195121951219514,0.48780487804878053,0.7317073170731708,0,0.00390625,0.986328125,0,0,0,1502,1495,1498,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145495,0.48780487804878053,0.48780487804878053,0.48780487804878053,0,0.001953125,0.986328125,0,0,0,1502,1495,1497,1001,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145548,0,0.24390243902439027,0.24390243902439027,0,0.005859375,0.98828125,0,0,0,1503,1495,1498,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145598,0.24390243902439027,0.48780487804878053,0.48780487804878053,0.001953125,0.00390625,0.98828125,0,0,0,1502,1495,1497,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145645,0.24390243902439027,0.48780487804878053,0,0,0.00390625,0.98828125,0,0,0,1502,1495,1497,1001,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272145698,-1.4634146341463417,1.707317073170732,0.7317073170731708,0,0.0078125,0.998046875,0,0,0,1503,1495,1498,1000,1939,1500,1500,1500,1150,1153,1150,1153,0,0,0,0
1457272145745,1.707317073170732,0.9756097560975611,0.24390243902439027,0.00390625,0.005859375,0.986328125,0,0,0,1503,1495,1498,1000,1939,1500,1500,1500,1150,1155,1150,1151,0,0,0,0
1457272145797,-0.24390243902439027,-0.48780487804878053,0.48780487804878053,-0.0078125,0.005859375,0.986328125,0,0,0,1502,1496,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145847,0.9756097560975611,0.24390243902439027,0.24390243902439027,0.0078125,0.005859375,0.986328125,0,0,0,1501,1496,1497,1000,1938,1500,1500,1500,1151,1155,1150,1150,0,0,0,0
1457272145895,0.24390243902439027,-0.24390243902439027,0.24390243902439027,-0.005859375,0.0078125,0.986328125,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145944,-0.48780487804878053,0.24390243902439027,0.24390243902439027,0.005859375,0.00390625,0.98828125,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272145995,-0.24390243902439027,0.24390243902439027,0.24390243902439027,0,0.001953125,0.984375,0,0,0,1501,1495,1496,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146045,-0.9756097560975611,0,0.24390243902439027,0.00390625,0.00390625,0.98828125,0,0,0,1503,1495,1497,999,1938,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272146094,-0.48780487804878053,0.24390243902439027,0.7317073170731708,-0.001953125,0.00390625,0.986328125,0,0,0,1503,1495,1496,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146145,0,-0.48780487804878053,0.48780487804878053,0,0.00390625,0.98828125,0,0,0,1503,1495,1496,1000,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146197,0.48780487804878053,0.24390243902439027,0.48780487804878053,0.001953125,0.001953125,0.986328125,0,0,0,1502,1495,1497,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146244,0,-0.24390243902439027,0.48780487804878053,0,0.00390625,0.986328125,0,0,0,1503,1495,1498,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146299,-0.24390243902439027,0,0.24390243902439027,0.001953125,0.00390625,0.984375,0,0,0,1503,1495,1498,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146349,-0.7317073170731708,-0.24390243902439027,0.24390243902439027,0.001953125,0.00390625,0.984375,0,0,0,1503,1495,1497,1000,1939,1500,1500,1500,1150,1153,1150,1151,0,0,0,0
1457272146395,-0.24390243902439027,-0.24390243902439027,0.24390243902439027,0,0.00390625,0.986328125,0,0,0,1503,1495,1496,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146448,-0.24390243902439027,0.24390243902439027,0.48780487804878053,0,0.005859375,0.984375,0,0,0,1503,1495,1497,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146498,0.7317073170731708,0.24390243902439027,0.48780487804878053,0,0.00390625,0.98828125,0,0,0,1503,1495,1498,999,1938,1500,1500,1500,1151,1155,1150,1150,0,0,0,0
1457272146544,0.7317073170731708,0.24390243902439027,0.24390243902439027,0.001953125,0.005859375,0.986328125,0,0,0,1503,1495,1497,1000,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146596,0.24390243902439027,0.48780487804878053,0.24390243902439027,0,0.005859375,0.984375,0,0,0,1503,1495,1497,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146645,0.24390243902439027,0.48780487804878053,0.48780487804878053,0.001953125,0.005859375,0.986328125,0,0,0,1503,1495,1497,999,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146696,0.7317073170731708,0,0.48780487804878053,0,0.005859375,0.986328125,0,0,0,1502,1495,1497,999,1938,1500,1500,1500,1151,1155,1150,1150,0,0,0,0
1457272146745,0.48780487804878053,0.48780487804878053,0.48780487804878053,0.001953125,0.005859375,0.986328125,0,0,0,1501,1495,1498,1001,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146795,0.7317073170731708,0.48780487804878053,0.24390243902439027,0,0.005859375,0.986328125,0,0,0,1501,1496,1497,1001,1939,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146845,-0.7317073170731708,-0.24390243902439027,0.24390243902439027,0.001953125,0.005859375,0.986328125,0,0,0,1502,1495,1496,1001,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146896,-0.48780487804878053,0,0.24390243902439027,0.001953125,0.005859375,0.984375,0,0,0,1502,1495,1496,1001,1937,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146947,-0.48780487804878053,0,0.24390243902439027,0,0.00390625,0.986328125,0,0,0,1501,1495,1497,1002,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272146997,-0.24390243902439027,-0.24390243902439027,0.48780487804878053,0,0.00390625,0.984375,0,0,0,1502,1495,1498,1002,1937,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272147045,-0.24390243902439027,0.24390243902439027,0.48780487804878053,0.001953125,0.00390625,0.986328125,0,0,0,1503,1495,1497,1010,1937,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272147097,-0.24390243902439027,0.48780487804878053,0.24390243902439027,0.001953125,0.005859375,0.986328125,0,0,0,1503,1495,1498,1065,1938,1500,1500,1500,1150,1152,1150,1152,0,0,0,0
1457272147148,0.24390243902439027,0.48780487804878053,0.24390243902439027,0.001953125,0.005859375,0.986328125,0,0,0,1501,1495,1497,1114,1938,1500,1500,1500,1158,1162,1158,1162,0,0,0,0
1457272147198,-0.48780487804878053,-0.24390243902439027,0,0,0.005859375,0.986328125,0,0,0,1502,1495,1496,1138,1938,1500,1500,1500,1177,1181,1177,1181,0,0,0,0
1457272147245,-0.7317073170731708,0,0.24390243902439027,0,0.001953125,0.986328125,0,0,0,1502,1495,1496,1158,1938,1500,1500,1500,1192,1196,1192,1196,0,0,0,0
1457272147297,1.2195121951219514,0,0.24390243902439027,0,0.005859375,0.98828125,0,0,0,1502,1495,1497,1169,1938,1500,1500,1500,1202,1206,1200,1204,0,0,0,0
1457272147346,0,-0.7317073170731708,3.414634146341464,0.001953125,0.00390625,0.986328125,0,0,0,1503,1495,1496,1180,1938,1500,1500,1500,1209,1213,1209,1213,0,0,0,0
1457272147396,1.2195121951219514,0,-0.7317073170731708,0.001953125,-0.001953125,0.986328125,0,0,0,1503,1495,1496,1190,1937,1500,1500,1500,1219,1223,1217,1221,0,0,0,0
1457272147444,-0.9756097560975611,0.48780487804878053,0.9756097560975611,0.001953125,-0.01171875,0.984375,0,0,0,1503,1496,1496,1195,1938,1500,1500,1500,1224,1226,1218,1224,0,0,0,0
1457272147495,0.9756097560975611,-0.24390243902439027,0.9756097560975611,0.005859375,-0.021484375,0.984375,0,0,0,1503,1496,1497,1199,1938,1500,1500,1500,1224,1232,1222,1230,0,0,0,0
1457272147544,3.414634146341464,-0.7317073170731708,-0.24390243902439027,0.001953125,-0.017578125,0.984375,0,0,0,1502,1495,1497,1198,1939,1500,1500,1500,1223,1229,1221,1227,0,0,0,0
1457272147595,-4.878048780487806,0.9756097560975611,0.48780487804878053,0.00390625,-0.009765625,0.986328125,0,0,0,1503,1495,1498,1198,1938,1500,1500,1500,1229,1229,1215,1227,0,0,0,0
1457272147645,5.121951219512195,-0.48780487804878053,0,0.00390625,-0.0234375,0.984375,0,0,0,1503,1495,1496,1198,1938,1500,1500,1500,1223,1229,1219,1229,0,0,0,0
1457272147699,2.439024390243903,-0.7317073170731708,0.24390243902439027,0.001953125,-0.01953125,0.984375,0,0,0,1503,1495,1496,1198,1938,1500,1500,1500,1222,1228,1220,1230,0,0,0,0
1457272147745,0.9756097560975611,-0.24390243902439027,-1.4634146341463417,0.001953125,-0.009765625,0.986328125,0,0,0,1503,1495,1496,1198,1938,1500,1500,1500,1223,1229,1219,1229,0,0,0,0
1457272147798,0.9756097560975611,0,-0.7317073170731708,0.00390625,-0.01953125,0.982421875,0,0,0,1502,1495,1496,1198,1938,1500,1500,1500,1226,1228,1214,1232,0,0,0,0
1457272147845,-2.439024390243903,1.4634146341463417,1.4634146341463417,0.001953125,-0.017578125,0.984375,0,0,0,1503,1495,1497,1199,1938,1500,1500,1500,1228,1230,1218,1232,0,0,0,0
1457272147898,-1.4634146341463417,0.9756097560975611,1.707317073170732,0.00390625,-0.021484375,0.984375,0,0,0,1503,1495,1496,1202,1938,1500,1500,1500,1230,1234,1220,1232,0,0,0,0
1457272147948,-5.365853658536586,1.707317073170732,0.7317073170731708,0.005859375,-0.02734375,0.984375,0,0,0,1501,1496,1496,1212,1938,1500,1500,1500,1239,1239,1223,1243,0,0,0,0
1457272147997,4.634146341463415,-0.48780487804878053,1.9512195121951221,0.00390625,-0.037109375,0.982421875,0,0,0,1503,1495,1496,1216,1939,1500,1500,1500,1238,1240,1232,1246,0,0,0,0
1457272148047,0.7317073170731708,0,0,0.001953125,-0.021484375,0.98046875,0,0,0,1503,1495,1496,1217,1938,1500,1500,1500,1240,1244,1232,1248,0,0,0,0
1457272148097,-1.4634146341463417,1.4634146341463417,3.414634146341464,0.00390625,-0.013671875,0.986328125,0,0,0,1503,1495,1496,1217,1938,1500,1500,1500,1243,1243,1231,1247,0,0,0,0
1457272148146,-1.707317073170732,0.24390243902439027,1.707317073170732,0.001953125,-0.017578125,0.986328125,0,0,0,1503,1495,1496,1217,1938,1500,1500,1500,1242,1246,1228,1248,0,0,0,0
1457272148196,0.24390243902439027,-0.48780487804878053,-1.707317073170732,0.00390625,-0.015625,0.984375,0,0,0,1502,1495,1496,1217,1938,1500,1500,1500,1241,1245,1229,1249,0,0,0,0
1457272148244,-0.9756097560975611,0.24390243902439027,-0.24390243902439027,0.001953125,-0.017578125,0.982421875,0,0,0,1501,1495,1497,1225,1938,1500,1500,1500,1248,1248,1232,1256,0,0,0,0
1457272148295,1.707317073170732,2.439024390243903,-0.24390243902439027,0,-0.017578125,0.984375,0,0,0,1503,1495,1496,1233,1938,1500,1500,1500,1253,1253,1243,1259,0,0,0,0
1457272148344,0.7317073170731708,1.4634146341463417,-1.2195121951219514,0,-0.013671875,0.984375,0,0,0,1503,1495,1496,1236,1938,1500,1500,1500,1258,1254,1242,1266,0,0,0,0
1457272148395,0.48780487804878053,1.4634146341463417,-2.1951219512195124,0.005859375,-0.017578125,0.984375,0,0,0,1503,1495,1496,1238,1938,1500,1500,1500,1260,1256,1244,1268,0,0,0,0
1457272148445,-1.2195121951219514,1.707317073170732,0.48780487804878053,0.00390625,-0.015625,0.98828125,0,0,0,1502,1495,1496,1244,1938,1500,1500,1500,1265,1263,1249,1271,0,0,0,0
1457272148496,-0.48780487804878053,-0.7317073170731708,0.24390243902439027,0,-0.01953125,0.98828125,0,0,0,1502,1495,1496,1249,1938,1500,1500,1500,1266,1268,1250,1276,0,0,0,0
1457272148549,-1.707317073170732,2.1951219512195124,3.414634146341464,0.01171875,-0.0234375,0.984375,0,0,0,1502,1495,1497,1253,1938,1500,1500,1500,1273,1271,1255,1277,0,0,0,0
1457272148599,0.24390243902439027,0.9756097560975611,2.9268292682926833,0,-0.01171875,0.984375,0,0,0,1503,1495,1496,1258,1938,1500,1500,1500,1274,1276,1256,1282,0,0,0,0
1457272148644,1.2195121951219514,0.24390243902439027,-5.365853658536586,0.00390625,-0.017578125,0.9765625,0,0,0,1503,1495,1497,1260,1938,1500,1500,1500,1277,1273,1257,1285,0,0,0,0
1457272148698,1.707317073170732,0.7317073170731708,1.9512195121951221,0.00390625,-0.01953125,0.982421875,0,0,0,1503,1495,1497,1262,1938,1500,1500,1500,1277,1277,1263,1287,0,0,0,0
1457272148745,-0.7317073170731708,0.7317073170731708,6.829268292682928,0.00390625,-0.013671875,0.990234375,0,0,0,1503,1496,1496,1269,1938,1500,1500,1500,1282,1284,1264,1290,0,0,0,0
1457272148798,-0.9756097560975611,-0.24390243902439027,3.414634146341464,0.00390625,-0.021484375,0.978515625,0,0,0,1502,1496,1496,1276,1938,1500,1500,1500,1285,1289,1275,1295,0,0,0,0
1457272148847,-1.9512195121951221,-0.24390243902439027,4.390243902439025,0.005859375,-0.017578125,0.98046875,0,0,0,1503,1495,1496,1287,1938,1500,1500,1500,1295,1297,1277,1307,0,0,0,0
1457272148897,-0.24390243902439027,0.7317073170731708,-2.439024390243903,0,-0.017578125,0.984375,0,0,0,1503,1495,1496,1292,1938,1500,1500,1500,1301,1299,1281,1315,0,0,0,0
1457272148946,-0.9756097560975611,-0.48780487804878053,-1.707317073170732,0.00390625,-0.02734375,0.984375,0,0,0,1502,1495,1497,1297,1938,1500,1500,1500,1304,1304,1284,1316,0,0,0,0
1457272148995,-0.9756097560975611,0.9756097560975611,-4.390243902439025,0.00390625,0.001953125,0.982421875,0,0,0,1502,1495,1496,1300,1938,1500,1500,1500,1307,1307,1287,1319,0,0,0,0
1457272149045,2.439024390243903,0.24390243902439027,0.48780487804878053,0.013671875,-0.041015625,0.986328125,0,0,0,1502,1495,1496,1308,1938,1500,1500,1500,1313,1311,1295,1325,0,0,0,0
1457272149095,-1.2195121951219514,0.48780487804878053,3.1707317073170733,0.001953125,-0.001953125,0.994140625,0,0,0,1503,1495,1497,1317,1938,1500,1500,1500,1322,1318,1300,1332,0,0,0,0
1457272149145,-1.2195121951219514,0.24390243902439027,1.9512195121951221,0.00390625,0.001953125,0.986328125,0,0,0,1501,1495,1497,1327,1938,1500,1500,1500,1328,1326,1310,1340,0,0,0,0
1457272149195,0.24390243902439027,0.7317073170731708,-1.707317073170732,0.001953125,0.03515625,0.984375,0,0,0,1501,1495,1496,1331,1938,1500,1500,1500,1333,1327,1307,1349,0,0,0,0
1457272149245,0.24390243902439027,0,-0.24390243902439027,0.01171875,-0.01953125,0.9765625,0,0,0,1501,1495,1496,1334,1938,1500,1500,1500,1336,1330,1312,1350,0,0,0,0
1457272149298,0,0.48780487804878053,1.4634146341463417,-0.001953125,-0.037109375,0.982421875,0,0,0,1501,1495,1496,1340,1938,1500,1500,1500,1338,1336,1318,1352,0,0,0,0
1457272149346,-0.7317073170731708,0.48780487804878053,-1.9512195121951221,0.013671875,-0.080078125,0.982421875,0,0,0,1503,1495,1496,1344,1938,1500,1500,1500,1343,1337,1317,1359,0,0,0,0
1457272149396,-0.48780487804878053,-0.7317073170731708,-1.2195121951219514,0.009765625,-0.052734375,0.970703125,0,0,0,1503,1495,1496,1350,1939,1500,1500,1500,1349,1339,1321,1363,0,0,0,0
